id,name,type,production,year,sex,birth,ethnicity,frequency
1stToDie,1sttoDie,0,5,3,99,99,99,99
300RiseOfAnEmpire,300:RiseofanEmpire,0,5,4,99,99,99,99
AWalkToRemember,AWalktoRemember,0,5,3,99,99,99,99
BeautifulGirls,BeautifulGirls,0,1,2,99,99,99,99
BladeRunner,BladeRunner,0,5,1,99,99,99,99
Bounce,Bounce,0,1,3,99,99,99,99
ChelseaWalls,ChelseaWalls,0,5,3,99,99,99,99
DarkSummer,DarkSummer,0,5,3,99,99,99,99
DeLaGuerre,Delaguerre,0,5,3,99,99,99,99
DevilsAdvocate,DevilsAdvocate,0,5,2,99,99,99,99
DevilsHighway,Devil'sHighway,0,5,3,99,99,99,99
DirtyDancingHavanaNights,DirtyDancing:HavanaNights,0,1,3,99,99,99,99
DrJekyllAndMsHyde,DrJekyllandMsHyde,0,5,2,99,99,99,99
Entropy,Entropy,0,5,2,99,99,99,99
EvenCowgirlsGetTheBlues,EvenCowgirlsGettheBlues,0,5,2,99,99,99,99
Exotica,Exotica,0,1,2,99,99,99,99
Frida,Frida,0,1,3,99,99,99,99
GetOverIt,GetOverIt,0,1,3,99,99,99,99
Gossip,Gossip,0,5,3,99,99,99,99
HollywoodDreams,HollywoodDreams,0,5,3,99,99,99,99
Jenifer,Jenifer,0,5,3,99,99,99,99
KillBillVol1,KillBill:Vol.1,0,1,3,99,99,99,99
Lourdes,Lourdes,0,5,3,99,99,99,99
NewRoseHotel,NewRoseHotel,0,5,2,99,99,99,99
NormaJeanAndMarilyn,NormaJean&Marilyn,0,5,2,99,99,99,99
NymphomaniacVol1,Nymphomaniac:Vol.1,0,5,4,99,99,99,99
PerfectSense,PerfectSense,0,5,4,99,99,99,99
Possession,Possession,0,5,3,99,99,99,99
PulpFiction,PulpFiction,0,1,2,99,99,99,99
ShannonsRainbow,Shannon'sRainbow,0,99,3,99,99,99,99
SkyCaptainAndTheWorldOfTomorrow,SkyCaptainandtheWorldofTomorrow,0,4,3,99,99,99,99
TheAdventuresOfBaronMunchausen,TheAdventuresofBaronMunchausen,0,5,1,99,99,99,99
TheFaceOfAnAngel,TheFaceofanAngel,0,5,4,99,99,99,99
TheGoldenBowl,TheGoldenBowl,0,1,3,99,99,99,99
TheGreatRaid,TheGreatRaid,0,1,3,99,99,99,99
TheHourOfThePig,TheHourofthePig,0,5,2,99,99,99,99
TheLastDaysOfDisco,TheLastDaysofDisco,0,5,2,99,99,99,99
TheWholeNineYards,TheWholeNineYards,0,5,3,99,99,99,99
UneVieilleMaitresse,UneVieilleMaîtresse,0,5,3,99,99,99,99
WallStreet,WallStreet,0,5,1,99,99,99,99
WelcomeToHollywood,WelcometoHollywood,0,5,2,99,99,99,99
Winter,Winter,0,5,4,99,99,99,99
AnthonyLysette,LysetteAnthony,1,99,99,1,2,2,1
ArgentoAsia,AsiaArgento,1,99,99,1,3,3,2
ArquetteRosanna,RosannaArquette,1,99,99,1,1,7,2
BeckinsaleKate,KateBeckinsale,1,99,99,1,3,2,3
CoughlanMarisa,MarisaCoughlan,1,99,99,1,3,7,2
DarelFlorence,FlorenceDarel,1,99,99,1,2,3,1
DeLaHuertaPaz,PazdelaHuerta,1,99,99,1,4,7,2
DelevigneCara,CaraDelevigne,1,99,99,1,5,2,1
DixSophie,SophieDix,1,99,99,1,2,2,1
EvansAlice,AliceEvans,1,99,99,1,3,2,1
EverhartAngie,AngieEverhart,1,99,99,1,2,7,1
ForlaniClaire,ClaireForlani,1,99,99,1,3,2,2
GaraiRomola,RomolaGarai,1,99,99,1,4,2,2
GodrecheJudith,JudithGodreche,1,99,99,1,3,2,1
GomesLarissa,LarissaGomes,1,99,99,1,99,7,2
GreenEva,EvaGreen,1,99,99,1,3,2,1
HannahDaryl,DarylHannah,1,99,99,1,1,7,2
HayekSalma,SalmaHayek,1,99,99,1,2,7,2
HeadeyLena,LenaHeadey,1,99,99,1,3,2,2
HenstridgeNatasha,NatashaHenstridge,1,99,99,1,3,7,2
HollyLauren,LaurenHolly,1,99,99,1,2,7,2
HynesJessica,JessicaHynes,1,99,99,1,3,2,2
JolieAngelina,JolieAngelina,1,99,99,1,3,7,1
JuddAshley,AshleyJudd,1,99,99,1,2,7,2
KellyMinka,MinkaKelly,1,99,99,1,3,7,1
KirshnerMia,MiaKirshner,1,99,99,1,3,7,2
MaltheNatassia,NatassiaMalthe,1,99,99,1,3,5,2
MarguliesJulianna,JuliannaMargulies,1,99,99,1,2,7,2
MatthauAshley,AshleyMatthau,1,99,99,1,99,7,2
MendozaNatalie,NatalieMendoza,1,99,99,1,3,7,2
NielsenConnie,ConnieNielsen,1,99,99,1,2,2,2
PaltrowGwyneth,GwynethPaltrow,1,99,99,1,3,7,3
PolleySarah,SarahPolley,1,99,99,1,3,7,2
SagemillerMelissa,MelissaSagemiller,1,99,99,1,3,7,2
SciorraAnnabella,AnnabellaSciorra,1,99,99,1,1,7,2
SeydouxLea,LeaSeydoux,1,99,99,1,4,2,2
SorvinoMira,MiraSorvino,1,99,99,1,2,7,3
SubkoffTara,TaraSubkoff,1,99,99,1,3,7,1
ThurmanUma,UmaThurman,1,99,99,1,2,7,3
YoungSean,SeanYoung,1,99,99,1,1,7,2
